0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
9,9,,Risk:- The Council’s ability to cope with a natural disaster. Effects:- Natural disaster; malicious or accidental incident affects support required by civilians or disrupts existing Council services.,5,5,,4,4,,20,20,, Emergency plan  Emergency planning exercises beyond the district  Business continuity plans  Regular exercise and joint public sector workshops for Emergency Planning  Emergency Planning Communication s Strategy  Review of approach with partner organisations as a result of lessons learned from ‘near miss’ flood events.  Local Resilience Forum,4,4,,4,4,,16,16,,CMT, Regularly test Emergency Plan  Test Service Business Continuity Plans  Ensure key emergency planning staff attend regular liaison meetings and training,,Key senior staff attend regular multi-agency,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
4,4,,"Risk:- Failure of IT systems Effects:- Failure to secure and manage data leads to loss of/ corruption of / inaccuracy of data, results in disruption to services and breaches of security. A further consequence could be financial penalties and reputational risk.",5,5,,5,5,,25,,,, Data protection,,4,4,,3,3,,12,,,Carol Pilson / Peter Catchpole, Effective auditing of systems and data held.  Data backed-up securely off-site.  Regular penetration testing.  Regular review of business continuity plans  Disaster Recovery testing is undertaken at regular intervals,"GDPR is live, see risk 1. An additional internet feed to Fenland Hall has been installed to improve resilience. The likelihood score has been reviewed and increased due to the increase globally of cyber crime The Council’s internet and email protocols have been updated.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
6,6,,,Risk:-,,5,5,,5,5,,25,25,, Anti-virus software  Geographically distributed servers  Tested disaster recovery plan  Back-ups stored off site  Secondary power supply  Revised security policies  Critical services’ business continuity plans include manual operation,4,4,,3,3,,12,,,Peter Catchpole, Effective auditing of systems and data held.  Data backed-up securely off-site.  Regular penetration testing.,"The Council has subscribed to the National Cyber Security Centre’s (NCSC) Web Check service that helps public sector organisations fix website threats. This service regularly scans public sector websites to check if they are secure. NCSC have advised that the Fenland Council site is secure. Council IT systems and website are as secure as possible with current anti-attack software and processes up to date. When vulnerabilities are made known by software vendors, software is updated to reduce the risk of malicious attack. The likelihood score has been reviewed and increased due to the increase globally of cyber crime",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
17,17,,Risk:- Political changes in national priorities Effects:- Changes in national political priorities may result in immediate changes that require additional resource to achieve and fail to reflect priorities determined by consultation.,5,5,,4,4,,20,20,,, Financial &,,3,3,,4,4,,12,,,Paul Medd," Understanding and acting on intelligence from LGA, CIPFA and other local government sources.  Resources identified, approved and implemented without delay.  Constant monitoring  Horizon scanning via professional bodies  Joint/collaborative working","The risks of legislative change remain high as a result of the effects of the ongoing Brexit transition process, albeit that Brexit itself has been identified as a risk to the Council. (see reference number 2) The recent election has lessened the potential likelihood of significant changes, but the Council will continue to scrutinise this.",,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
3,3,,Risk:- Failure of contractors and suppliers working on the Council’s behalf Effects:- Failure of contractor or partners to deliver services or meet agreed performance objectives leads to additional costs or failed objectives.,4,4,,4,4,,16,,, Procurement processes – including financial aspects/ contract standing orders/ equality standards  Contract process – creation of robust contracts  Accountability and risk ownership documented  Service Level Agreements  Contract monitoring  Trained/skilled staff  Project management  Relationship Management  Business Continuity Plans,3,3,,4,4,,12,12,,CMT, Regular monitoring of contracts and performance by Managers.  Ensure that contracts have risk registers and mitigation in event of contract failure.,,The Leisure service was outsourced in December,,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,
10,10,,"Risk:- Major health and safety incident Effects:- Major Health & Safety incident at Council leads to costs for inquiry, disruption to service and possible prosecution",4,4,,4,4,,16,16,,, Health & Safety,,4,4,,3,3,,12,12,,CMT, Ensure health and safety is standard agenda on all team meetings.  Ensure equipment inventory and inspections are up to date.  Review Risk Assessments and Action Plans.  Capture Port near misses and asses learning points,A thorough Health and Safety regime at the Council ensures that the residual risk remains carefully managed Programme of targeted health and safety refresher training is in place as per service specification Flu jabs are being provided for employees,,,,,,,,
,e c n e r e fe R,,Risk and effects,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Mitigation,,tc a p m I,,,d o o h ile k iL,,,e r o c S,,Risk Owner,Actions being taken to managing risk,Comments and progress of actions,,,,,,,,,,
